Country,RAM Capacity (Mb),Storage (Mb),Mass (grams),Pixel Density (per inch)
0,0.031220435,0.002096294,0.045258621,0.336193841
0,0.062471389,0.000523305,0.032758621,0.176678445
1,0.062471389,0.001047635,0.029741379,0.390711762
0,0.00778222,0.000523305,0.019396552,0.250378597
3,0.062471389,0.002096294,0.084913793,0.17617365
3,0.062471389,0.002096294,0.084913793,0.17617365
0,0.031220435,0.002096294,0.029310345,0.17617365
0,0.031220435,0.001047635,0.029310345,0.17617365
6,0.031220435,0.002096294,0.023060345,0.17617365
0,0.062471389,0.001047635,0.032758621,0.176678445
0,0.015594958,0.001047635,0.009267241,0.210499748
0,0.00778222,0.000392223,0.012931034,0.208480565
0,0.015594958,0.001047635,0.009267241,0.210499748
0,0.031220435,0.003144952,0.029956897,0.244573448
0,0.015594958,0.001047635,0.009267241,0.210499748
0,0.015594958,0.000523305,0.012931034,0.210499748
0,0.015594958,0.001047635,0.020474138,0.207723372
0,0.015594958,0.000523305,0.03125,0.276375568
0,0.031220435,0.000523305,0.01875,0.17617365
0,0.062471389,0.001047635,0.032758621,0.17617365
0,0.062471389,0.001047635,0.031896552,0.17617365
0,0.015594958,0.001047635,0.009267241,0.210499748
0,0.031220435,0.001047635,0.034051724,0.17617365
1,0.031220435,0.001047635,0.049568966,0.433619384
1,0.062471389,0.001047635,0.049568966,0.433619384
0,0.062471389,0.001047635,0.032758621,0.176678445
1,0.062471389,0.001047635,0.023706897,0.44548208
0,0.062471389,0.000523305,0.032758621,0.176678445
0,0.015594958,0.004193611,0.018318966,0.265270066
3,0.062471389,0.001047635,0.191810345,0.17617365
3,0.062471389,0.001047635,0.123922414,0.17617365
0,0.015594958,0.001047635,0.020474138,0.207723372
0,0.062471389,0.001047635,0.031896552,0.17617365
0,0.062471389,0.001047635,0.031896552,0.17617365
0,0.031220435,0.000523305,0.030172414,0.17617365
0,0.062471389,0.001047635,0.032758621,0.17617365
0,0.031220435,0.000523305,0.02262931,0.17617365
0,0.062471389,0.001047635,0.019396552,0.17617365
1,0.062471389,0.001047635,0.023706897,0.433619384
0,0.031220435,0.001047635,0.012931034,0.345784957
0,0.062471389,0.002096294,0.092672414,0.152195861
0,0.062471389,0.002096294,0.092672414,0.152195861
0,0.015594958,0.001047635,0.009267241,0.210499748
0,0.031220435,0.001047635,0.020474138,0.245078243
0,0.015594958,0.001047635,0.009051724,0.204694599
0,0.015594958,0.001047635,0.009267241,0.210499748
0,0.015594958,0.000523305,0.012931034,0.210499748
0,0.015594958,0.00078547,0.021551724,0.223119637
0,0.015594958,0.001047635,0.011637931,0.24204947
0,0.015594958,0.002096294,0.027801724,0.4091368
0,0.015594958,0.001047635,0.009051724,0.204694599
0,0.015594958,0.001047635,0.010021552,0.204694599
0,0.062471389,0.001047635,0.032758621,0.176678445
0,0.015594958,0.000523305,0.025862069,0.354114084
0,0.003875851,0.000523305,0.01012931,0.230439172
0,0.015594958,0.001047635,0.009051724,0.204694599
0,0.062471389,0.000523305,0.031896552,0.176678445
0,0.015594958,0.001047635,0.020474138,0.207723372
0,0.015594958,0.001047635,0.009051724,0.210499748
0,0.015594958,0.001047635,0.010021552,0.204694599
0,0.031220435,0.002096294,0.047413793,0.308430086
0,0.00778222,0.000523305,0.012931034,0.250378597
3,0.031220435,0.002620623,0.078663793,0.17617365
3,0.031220435,0.001047635,0.096336207,0.17617365
0,0.015594958,0.001047635,0.009051724,0.204694599
0,0.015594958,0.001047635,0.009913793,0.204694599
0,0.031220435,0.001047635,0.020474138,0.245078243
0,0.031220435,0.002096294,0.023706897,0.244068652
0,0.031220435,0.001047635,0.0225,0.17617365
0,0.031220435,0.001047635,0.0225,0.17617365
6,0.062471389,0.002096294,0.0225,0.17617365
3,0.015594958,0.000523305,0.089655172,0.070923776
3,0.015594958,0.000523305,0.089655172,0.070923776
3,0.031220435,0.001047635,0.092672414,0.070923776
0,0.015594958,0.000523305,0.012931034,0.210499748
0,0.031220435,0.000523305,0.035775862,0.17617365
0,0.031220435,0.000523305,0.037068966,0.17617365
0,0.031220435,0.000523305,0.038362069,0.17617365
0,0.031220435,0.001047635,0.030172414,0.17617365
0,0.00778222,0.000392223,0.010775862,0.208480565
0,0.031220435,0.001047635,0.020474138,0.245078243
3,0.031220435,0.001047635,0.079310345,0.177940434
3,0.015594958,0.001047635,0.06875,0.177940434
0,0.031220435,0.001047635,0.020474138,0.245078243
